time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-123.927173856,160.571801028,18.0899149724,11.3762286388,6.20289193901,5.14264538602,0.0,20.050968408
3.0,-120.810654629,156.992536787,19.2008947834,16.2504568592,1.22114026322,5.41703280139,0.0,19.276898022
5.0,-114.439186266,147.542845259,17.2711089238,27.8097108373,6.27324336482,4.93734847316,0.0,19.2768980326
7.0,-105.319529102,132.907407842,17.0285377453,45.0556673476,5.82655560039,4.87602908411,0.0,18.7588512093
9.0,-97.1290530451,121.93496039,17.717223347,58.7652548311,3.58142140317,5.04952449974,0.0,18.3709735645
9.25,-96.4282563918,120.981407524,17.9704615646,59.975423668,2.44868410913,5.11285747906,0.0,18.2760708341
11.25,-92.448795038,113.448511697,18.0195779334,68.4949920034,2.13248205778,5.12511226209,0.0,18.2513556973
11.5,-92.0673667884,112.65458407,18.1583436374,69.3866559015,1.22188399818,5.15968435539,0.0,18.2344394838
13.5,-89.3875121114,105.261860505,17.9257869513,77.2535527111,2.3661831482,5.10170279583,0.0,18.2111499835
15.5,-84.5174507435,95.781968025,17.5330762185,87.918452189,3.45238722044,5.00331419968,0.0,18.1405674275
15.5,-84.5174507435,95.781968025,17.5330762185,87.918452189,3.45238722044,5.00331419968,0.0,18.1405674275
17.5,-78.0664307405,85.5562774036,17.1880959801,100.013881868,4.05743980506,4.91638942637,0.0,18.0271794547
19.25,-67.2522631412,78.3671564558,13.6149792648,113.482246429,9.3041586258,3.98887050059,0.0,18.0271794551
19.5,-65.4853356177,77.9677576695,14.2822213936,115.412729353,6.42821010598,4.16584199505,0.0,16.3883317487
20.25,-63.1268563764,77.0138088993,15.3023702231,118.153741251,2.18142135816,4.43306991878,0.0,15.5449084056
20.75,-62.7641566278,75.8101879978,15.5112926188,119.428065758,0.498016184247,4.48729823982,0.0,15.5239338074
22.75,-60.1673685655,70.7661268046,14.7753256289,125.148861941,3.83186343342,4.2955155445,0.0,15.5237036805
24.75,-54.3655962488,65.7747194343,15.0765584677,132.808199431,2.60974686321,4.37426703473,0.0,15.4236929575
26.75,-49.0390560415,61.4245871486,14.6964868702,139.695879439,3.57334562722,4.27484646182,0.0,15.3472921185
28.75,-40.1374848415,60.4738498629,12.120654897,149.011285043,7.83080402237,3.58625780481,0.0,15.2461131864
30.75,-31.1351297955,65.4350604514,11.9465917142,159.291669514,6.78313058044,3.53879610963,0.0,14.2916916363
32.75,-22.1724844807,64.5318203684,12.8318075342,168.343103695,4.02922796439,3.77894425889,0.0,13.6592630892
34.75,-11.6466641083,62.2691978761,10.0969442466,179.451291318,8.19186342202,3.02718152656,0.0,13.5172615924
36.75,3.25881914341,56.4735172789,10.4412840841,195.44760072,6.52325443575,3.12343337078,1.0,12.6101346668
38.75,8.52479758925,52.1604404523,13.3215073478,202.838733701,1.02692613437,3.91048566927,1.0,13.3752574643
40.75,10.3857172534,47.1427681133,15.032780253,208.457320059,2.30025415547,4.36284396633,1.0,15.3024626781
42.75,17.3568122665,48.2638795899,12.4729699692,215.967691908,9.54208509827,3.68196302227,1.0,17.1137134973
44.75,32.8995010735,51.5671812883,12.9434311379,231.864493824,8.86129699664,3.80901018451,1.0,16.9456015998
46.75,37.9084969364,45.8738577515,16.7446427454,240.347015981,0.543907300388,4.80397309522,1.0,16.7597209896
48.75,40.7369478005,40.6202863334,18.0289959999,246.450270049,3.52662611862,5.12746104636,1.0,18.6628946635
50.75,43.064546128,33.8921352694,20.4607942207,253.973525547,0.975294890068,5.72239661852,1.0,20.5092753687
52.75,48.7630981334,25.7162825821,20.8766825575,263.948044344,5.35377637656,5.82184207586,1.0,22.3375857935
54.75,51.5640208201,16.6855439277,23.7356062178,273.825941542,1.43954378068,6.48726591352,1.0,23.8412273338
56.75,53.4735628836,8.6828638193,25.6174569976,282.265763943,1.90720178838,6.90793977795,1.0,25.8028504055
58.75,55.1437693712,-0.104970901114,27.5007885543,291.407020232,2.22835483624,7.31516769167,1.0,27.7538754695
60.75,57.2651220264,-10.5087113591,29.4880916357,302.209211035,1.71458361041,7.72993240213,1.0,29.6379283817
62.75,60.7975359371,-27.3270031907,27.3130989963,319.531551556,9.02912672613,7.27520238633,1.0,31.4683043702
64.75,69.6846065521,-45.2309314462,29.5559387939,339.64525339,4.07578755767,7.74382169664,1.0,30.4026281015
66.75,76.6021607895,-58.6897645563,30.6549523185,354.817615633,4.88262485016,7.96631414784,1.0,31.8700402607
68.75,79.4099261175,-67.9026037985,33.3594536001,364.821328955,1.63722174963,8.49384803771,1.0,33.4960741433
70.75,84.6101065264,-80.3123826692,33.7659254029,378.282744454,5.47475241121,8.57067671919,1.0,35.2935968588
110.989528921,300,-120,10,598.584202438,5.47475241121,3.0,0.0,11.5276714559
